model,perturbation,seed,rmse,mae,smape,mape,mase
dlinear,clean,42.0,27.690120697021484,25.069318771362305,1.7062079906463623,1.3316340446472168,20.13729476928711
dlinear,missing_mcar,42.0,27.23771476745605,25.047637939453125,1.7261881828308103,1.3277218341827393,20.1198787689209
dlinear,outlier_spike,42.0,28.846996307373047,25.32424545288086,1.6470928192138672,1.3381463289260864,20.34206771850586
patchtst,clean,42.0,18.36661529541016,18.17763900756836,1.8767653703689573,0.9679375886917114,14.601452827453612
patchtst,missing_mcar,42.0,18.36924934387207,18.18038558959961,1.8772904872894287,0.968085527420044,14.60365867614746
patchtst,outlier_spike,42.0,18.369647979736328,18.18068122863769,1.8774831295013428,0.968102753162384,14.603896141052246
